epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,150.528,0.7512,2.06632,1.24134,0.89541,0.42336,0.72794,0.54149,0.70643,2.77157,1.28247,0.0005,0.0005,0.0005
2,278.747,0.72731,1.36831,1.14344,0.82716,0.59387,0.7429,0.49028,0.94963,2.55107,1.48664,0.000999804,0.000999804,0.000999804
3,407.067,0.78273,1.33063,1.20378,0.61336,0.60584,0.64004,0.43673,1.02406,2.1402,1.63295,0.00147902,0.00147902,0.00147902
4,535.369,0.80245,1.20436,1.20193,0.53062,0.2558,0.2716,0.18436,1.2075,2.81435,1.79819,0.0018812,0.0018812,0.0018812
5,664.097,0.79607,1.14621,1.20018,0.63916,0.72263,0.75678,0.54139,0.89576,2.10743,1.53384,0.0018416,0.0018416,0.0018416
6,792.032,0.7939,1.0839,1.20681,0.67604,0.70068,0.74653,0.49313,1.13943,2.3349,1.66874,0.001802,0.001802,0.001802
7,932.109,0.83425,1.00352,1.20996,0.705,0.80244,0.81247,0.56292,0.99882,1.38095,1.50368,0.0017624,0.0017624,0.0017624
